Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017]
Bank Z-score,GFDD.SI.01,Afghanistan,AFG,12.6593,11.4993
Bank Z-score,GFDD.SI.01,Albania,ALB,17.9659,15.9563
Bank Z-score,GFDD.SI.01,Algeria,DZA,21.0058,21.7278
Bank Z-score,GFDD.SI.01,Andorra,AND,20.9508,16.1327
Bank Z-score,GFDD.SI.01,Angola,AGO,9.78763,10.8368
Bank Z-score,GFDD.SI.01,Antigua and Barbuda,ATG,34.8003,36.5239
Bank Z-score,GFDD.SI.01,Argentina,ARG,6.91777,6.52052
Bank Z-score,GFDD.SI.01,Armenia,ARM,9.42404,9.41071
Bank Z-score,GFDD.SI.01,Aruba,ABW,24.9956,25.1774
Bank Z-score,GFDD.SI.01,Australia,AUS,14.9753,15.4924
Bank Z-score,GFDD.SI.01,Austria,AUT,25.5993,26.1376
Bank Z-score,GFDD.SI.01,Azerbaijan,AZE,6.70657,10.7686
Bank Z-score,GFDD.SI.01,"Bahamas, The",BHS,15.8474,16.9796
Bank Z-score,GFDD.SI.01,Bahrain,BHR,16.377,16.6817
Bank Z-score,GFDD.SI.01,Bangladesh,BGD,6.65291,6.72349
Bank Z-score,GFDD.SI.01,Barbados,BRB,14.8667,16.9969
Bank Z-score,GFDD.SI.01,Belarus,BLR,2.98766,3.28107
Bank Z-score,GFDD.SI.01,Belgium,BEL,17.4288,19.0364
Bank Z-score,GFDD.SI.01,Belize,BLZ,10.4003,8.9714
Bank Z-score,GFDD.SI.01,Benin,BEN,9.62539,8.57789
Bank Z-score,GFDD.SI.01,Bermuda,BMU,16.6587,19.2346
Bank Z-score,GFDD.SI.01,Bhutan,BTN,27.4962,25.119
Bank Z-score,GFDD.SI.01,Bolivia,BOL,10.3021,9.2793
Bank Z-score,GFDD.SI.01,Bosnia and Herzegovina,BIH,17.7475,18.3479
Bank Z-score,GFDD.SI.01,Botswana,BWA,8.44992,8.61595
Bank Z-score,GFDD.SI.01,Brazil,BRA,15.4676,15.2382
Bank Z-score,GFDD.SI.01,Brunei Darussalam,BRN,..,..
Bank Z-score,GFDD.SI.01,Bulgaria,BGR,8.52549,8.56327
Bank Z-score,GFDD.SI.01,Burkina Faso,BFA,7.4858,7.7444
Bank Z-score,GFDD.SI.01,Burundi,BDI,18.0455,17.7859
Bank Z-score,GFDD.SI.01,Cabo Verde,CPV,22.5352,23.4375
Bank Z-score,GFDD.SI.01,Cambodia,KHM,12.5862,12.7816
Bank Z-score,GFDD.SI.01,Cameroon,CMR,8.52873,11.6987
